DateTime,Sensor_id,Vendor,SensorModel,LAT,LONG,Zone,Pm1_0,Pm2_5,Pm10,SO2,O3,CO,NO2,AlertTriggered,SensorStatus
2021-05-16T05:55:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T05:58:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:01:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:04:27,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:07:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:10:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:13:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:16:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:19:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:22:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:25:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:28:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:31:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,6,8,11,0,0,0,0,None,Normal
2021-05-16T06:34:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:37:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:40:27,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:43:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:46:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:49:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:52:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:55:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,15,0,0,0,0,None,Normal
2021-05-16T06:58:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,13,0,0,0,0,None,Normal
2021-05-16T07:01:27,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,13,0,0,0,0,None,Normal
2021-05-16T07:04:27,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,13,0,0,0,0,None,Normal
2021-05-16T07:07:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,13,0,0,0,0,None,Normal
2021-05-16T07:10:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,13,0,0,0,0,None,Normal
2021-05-16T07:13:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,12,10,13,0,0,0,0,None,Normal
